Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Very_weak,Lokus,Box_general_from_comments,General_Kg_fromcomments
27,11,00,14,00,1990,10,12,Levi,,,,2.8,בת ים צפונה,FALSE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
28,14,30,17,00,1990,10,12,Levi,,,,2.75,הרצליה דרומה,FALSE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
29,18,30,23,30,1990,10,12,Levi,,50,,,רידינג דרומה,FALSE,29,,,,,,,,2,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
30,00,00,6,30,1990,10,13,Levi,Ashdod(N),50,,,,FALSE,30,,,,,,,,3,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
31,6,30,11,30,1990,10,13,Levi,,80,,,תל ברוך דרומה,FALSE,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"5 ארגזים
הרוב זעיר",FALSE,,5,
32,12,30,16,30,1990,10,13,Levi,Tel Aviv,27,,,,FALSE,32,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,FALSE,"10 ארגזים
הרוב סולטן זעיר",FALSE,,10,
33,19,30,00,30,1990,10,13,Levi,Ashdod(N),9-10,,,,FALSE,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 Kg,FALSE,,,25 Kg
34,1,00,5,30,1990,10,14,Levi,Ashdod(N),,,,,FALSE,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 Kg,FALSE,,,10 Kg
35,6,30,10,00,1990,10,14,Levi,Tel Aviv,27,,,,FALSE,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
36,11,30,14,00,1990,10,14,Levi,Ashdod(N),,,על 2.6 ו-1.5,,FALSE,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגז,FALSE,,25,
37,14,30,17,00,1990,10,14,Levi,,,,על 1.5,חזרה דרומה,FALSE,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,30 ארגזים,FALSE,,30,
38,21,00,5,30,1990,10,14,Levi,Ashdod(N),,,,,FALSE,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,33 Kg,FALSE,,,33 Kg
39,6,00,9,00,1990,10,15,Levi,,,,1.6-1.8 מעל הצינור וחזרה נמית(?),בת ים,FALSE,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"25 ארגזים
חצי דגים יפים",FALSE,,25,
40,13,30,16,30,1990,10,15,Levi,,18,,עוברים מעל הצינור,בת ים,FALSE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"15 ארגזים
דגים יפים",FALSE,,15,
41,17,30,5,00,1990,10,15,Levi,,,,,בת ים דרומה,FALSE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,35 Kg,FALSE,,,35 Kg
42,6,00,9,00,1990,10,16,Levi,,18,,עליה מעל הצינור,בת ים,FALSE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,FALSE,"8 ארגזים
הסולטן יפה אדום",FALSE,,8,
43,10,00,13,00,1990,10,16,Levi,,18-20,,,אשדוד צינור וחזרה,FALSE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,"14 ארגזים
הסולטן יפה",FALSE,,14,
44,14,00,16,45,1990,10,16,Levi,,"16-18, 20",,,אשדוד צינור וחזרה,FALSE,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,אין מידע,FALSE,,,
45,,,,,1990,10,22,Zion,,,,"2.2
עליה ל-20 פ' עד קצ""א",אשדוד,FALSE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"10-12 ארגזים
דגים טובים",FALSE,,11,
46,00,30,5,30,1990,10,26,Sharot,Ashdod(N),,,48-50,,FALSE,46,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
47,6,45,10,45,1990,10,26,Sharot,,,,"2.5-2.85
1750
4סימנים שתי חוליות למעלה",הרצליה דרומה,FALSE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"20 ארגזים
דגים בסדר
נקי בלי סרטנים",FALSE,,20,
48,,,,,1990,10,26,Sharot,,,,"2.5-2.85
1700
שתי חוליות למעלה 4 סימנים",פלמחים צפונה,FALSE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"55 ארגזים
הרוב מליטות",FALSE,,55,
49,17,30,3,30,1990,10,26,Sharot,,42,,"8 סימנים
שני חוליות למעלה 1650",הרצליה דרומה,FALSE,49,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
50,6,30,9,30,1990,10,27,Sharot,,,,"2.5-2.7
שתי חוליות בוש(?) למעלה
1700
4 סימנים",,FALSE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,17 ארגזים,FALSE,,17,
51,10,00,13,00,1990,10,27,Sharot,Jaffa,,,"2.85
1700",,FALSE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
52,13,30,16,30,1990,10,27,Sharot,,,,"3.4 מיל
1700
4 סימנים
שתי חוליות למעלה",געש דרומה,FALSE,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 ארגזים,FALSE,,13,
53,,,,,1990,10,27,Sharot,Ashdod(N),,,42,,FALSE,53,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,6 אדום,FALSE,,gambri,
54,7,00,10,00,1990,10,28,Sharot,Ashdod(N),,,"2.55-2.8
שתי חוליות על העליון
1700",,FALSE,54,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
55,10,30,13,30,1990,10,28,Sharot,Jaffa,,,"2.55-2.8
1770",,FALSE,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
56,14,00,17,00,1990,10,28,Sharot,,,,1.5,אשדוד עד הצינור ובחזרה,FALSE,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
57,21,00,5,00,1990,,,Sharot,Ashdod(S),105,,"חוליות שוות
1700
14 סימנים",,FALSE,57,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,"0.5 סולים
10.5 ארגזים",FALSE,,11,
58,6,00,12,00,1990,10,29,Sharot,,105,,"1700
14 סימנים
חוליות שוות",חאן יונס צפונה,FALSE,58,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,3,,22 B+,FALSE,1 מעורב,FALSE,,1,
59,13,00,18,00,1990,10,29,Sharot,,110,,"1650
14 סימנים
חוליות שוות",אשקלון דרומה,FALSE,59,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,2,,25 B+,FALSE,,FALSE,,,
60,19,00,1,00,1990,10,29,Sharot,,102,,"1700
13 סימנים
חוליה בוש(?) למטה",עזה צפונה,FALSE,60,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,3 B+,FALSE,,FALSE,,,
61,2,00,6,30,1990,10,30,Sharot,,42,,"1700
שתי חוליות למטה
8 סימנים",ניצנים דרומה,FALSE,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1 ארגז,FALSE,,1,
62,7,30,11,30,1990,10,30,Sharot,,18,,"4 סימנים
1750
שתי חוליות למטה",ואדי(?) עזה דרומה,FALSE,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
63,13,00,,,1990,10,30,Sharot,,20,,ירידה ל-2.2,חסי צפונה,FALSE,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"17 ארגזים
דגים בסדר",FALSE,,17,
64,,,,,1990,10,30,Sharot,Ashdod(N),50,,"לילה. 8 שעות
חוליות שוות 1620-1650",,FALSE,64,,,,,,,,,,,,,,,50 Kg,,,,,,,,,,1,,,,,,,,,,,,FALSE,,FALSE,,,
65,7,00,10,00,1990,10,31,Sharot,Ashdod(N),,,"2.2 מיל
1700
חוליות שוות
4 סימנים",,FALSE,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"24 ארגזים
דגים יפים",FALSE,,24,
66,11,30,15,00,1990,10,31,Sharot,Ashdod(S),,,"2.2
1700
1750
חוליות שוות",,FALSE,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
67,15,30,17,30,1990,10,31,Sharot,Ashdod(S),,,"2.2 וירידה חזרה 1.4
1700",,FALSE,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
68,,,,,1990,10,31,Sharot,Ashdod(N),50,,"1650
17 שעות",,FALSE,68,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,FALSE,,FALSE,,,
69,6,15,9,30,1990,11,1,Sharot,Ashdod(S),,,"1.4
חוליות שוות
1700
4 סימנים",,FALSE,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
70,10,00,13,45,1990,11,1,Sharot,Ashdod(S),,,"2.2 וירידה 2 מיל וחזרה
חוליות שוות
1700",,FALSE,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,32 ארגזים,FALSE,,32,
71,14,15,,,1990,11,1,Sharot,,,,"2.2 וירידה ל-2 מיל
1700
שווה",,FALSE,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,17 ארגזים,FALSE,,17,
72,6,15,9,45,1990,11,2,Sharot,Ashdod(S),,,"2.2 ירידה ל-2 מיל
1700
שווה",,FALSE,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,32 ארגזים,FALSE,,32,
73,10,15,13,30,1990,11,2,Sharot,Ashdod(S),,,"2-2.2 מיל
1700",,FALSE,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
74,14,00,,,1990,11,2,Sharot,Ashdod(S),,,2.2 ירידה ל-1.8 וחזרה ל-2.5,,FALSE,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
75,6,30,9,30,1990,11,3,Levi,Ashdod(S),,,2.2-2.5,,FALSE,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,24 ארגזים,FALSE,,24,
76,10,30,13,30,1990,11,3,Levi,Ashdod(S),,,1.4-2.2,,FALSE,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
77,14,00,17,00,1990,11,3,Levi,Ashdod(S),,,1.4-2.5,,FALSE,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
78,6,00,9,00,1990,11,4,Levi,Ashdod(N),,,2.7,,FALSE,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
79,9,30,12,30,1990,11,4,Levi,Ashdod(N),,,ירידה אחרי הצינור ל18 פ,,FALSE,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
80,14,00,17,00,1990,11,4,Levi,Ashdod(S),20,,2.2,,FALSE,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
81,22,00,6,00,1990,11,4,Levi,Ashdod(N),,,,,FALSE,81,,,,,,,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
82,7,15,10,45,1990,11,5,Levi,Ashdod(S),22,,,,FALSE,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
83,11,15,14,15,1990,11,5,Levi,Katza,22,,ירידה ל-2.2,,FALSE,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
84,15,00,19,00,1990,11,5,Levi,Ashdod(S),22,,,,FALSE,84,,,,,,,,5,8 Kg,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,גמבארי יפה,FALSE,,,
85,19,30,5,00,1990,11,5,Levi,Ashdod(S),,,רשת B3 מהירות של דגים,,FALSE,85,,,,,,,,3,6 Kg,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
86,6,00,9,30,1990,11,6,Levi,Ashdod(S),,,"2.2-2.5
כל הזמן רשת B3  שווה 1700 טורים",,FALSE,86,,,,,,,,,,,,3,,,,,,,,,2,5 B+,,,,,,,1 S+1 M+,,,,,,,,FALSE,,FALSE,0.5,,
87,10,00,13,00,1990,11,6,Levi,Ashdod(S),,,"2.2-2.5
רשת A3 שווה 1700 טורים",,FALSE,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
88,14,00,16,00,1990,11,6,Levi,,,,2.2 וירידה ל-1.4 בחזרה,,FALSE,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
89,17,00,01,00,1990,11,6,Levi,Ashdod(S),7,,"הסתבכות עם ""ברוריה"" מורידים 3 סימני וויר",,FALSE,89,,,,,,,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,10 Kg,FALSE,,,10 Kg
90,4,00,7,00,1990,11,7,Levi,Ashdod(S),,,עליה ל-2.2,,FALSE,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
91,7,30,11,00,1990,11,7,Levi,Ashdod(S),,,2.2,,FALSE,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
92,11,30,15,00,1990,11,7,Levi,Ashdod(S),,,2.2,,FALSE,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
93,16,00,23,30,1990,11,7,Levi,Ashdod(S),7,,,,FALSE,93,,,,,,,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,15 Kg,FALSE,,,15 Kg
94,00,00,5,30,1990,11,8,Levi,Ashdod(S),,,1.4 מהחוף,,FALSE,94,,,,,,,,,,,,,,,3 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,18 Kg,FALSE,,,18 Kg
95,6,00,10,00,1990,11,8,Levi,Ashdod(S),,,"עליה ל-20 פ'
2.2
רשת קרועה",,FALSE,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
96,11,30,14,00,1990,11,8,Levi,Katza,20,,,,FALSE,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
97,14,30,,,1990,11,8,Levi,Ashdod(S),20,,חזרה על 2.2,,FALSE,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,אין מידע,FALSE,,,
98,,,,,1990,11,8,Levi,Ashdod(S),,,לילה 1.4,,FALSE,98,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
99,,,,,1990,11,9,,,,,,,TRUE,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
100,,,,,1990,11,10,,,,,,,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
101,13,00,,,1990,11,11,Zion,Ashdod(S),22,,ירידה ל-2.2,,FALSE,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,FALSE,,,
102,,,,,1990,11,11,Zion,,,,לילה,עזה 50/42,FALSE,102,,,,,,,,,,,,,,,20-100 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
103,,,,,1990,11,12,Zion,Ashdod(N),20,,2.7,,FALSE,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
104,,,,,1990,11,12,Zion,Jaffa,42,,,,FALSE,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
105,,,,,1990,11,12,Zion,,,,,עזה,FALSE,105,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
106,,,,,1990,11,13,Zion,,,,,אשדוד,FALSE,106,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,2 ארגזים,FALSE,,2,
107,,,,,1990,11,13,Zion,Jaffa,42,,,,FALSE,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"5 ארגזים
יש סימנים(?) לדגים סולטנים",FALSE,,5,
108,,,,,1990,11,13,Zion,Jaffa,27,,,,FALSE,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
109,,,,,1990,11,13,Zion,Ashdod(S),,,,,FALSE,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
110,,,,,1990,11,14,Zion,,,,לילה,,FALSE,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"4 ארגזים
קלמארי חלש",FALSE,,4,
111,,,,,1990,11,15,Zion,Ashdod(S),,,2.2,,FALSE,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
112,,,,,1990,11,15,Zion,,,,2.2,,FALSE,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
113,,,,,1990,11,15,Zion,Ashdod(N),48-50,,"לילה
8 שעות",,FALSE,113,,,,,,,,2,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,FALSE,,FALSE,,,
114,6,30,10,00,1990,11,16,Sharot,Ashdod(S),,,"2.2
1700
B שווה",,FALSE,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
115,11,00,14,30,1990,11,16,Sharot,Ashdod(S),,,"4 מיל
שווה 
4 סימנים
B
1700",,FALSE,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,11 ארגזים,FALSE,,11,
116,,,,,1990,11,16,Sharot,Katza,20,,"וירידה ל1.4
שווה
1700
1345-2000
B",,FALSE,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
117,,,,,1990,11,16,Sharot,Ashdod(S),8,,"רשת טוניסאית 40 ס""מ בוש למטה
בלי ברידלס
1625-1650 עם הזרם",,FALSE,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE," 25 Kg 
קצת בוץ",FALSE,,,25 Kg
118,6,45,9,45,1990,11,17,Sharot,Ashdod(N),,,"2.75
2 חוליות בוש למעלה
B",,FALSE,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,73 ארגזים,FALSE,,73,
119,,,,,1990,11,16,Sharot,,,,"2.55-2.75
1700
B",בת ים,FALSE,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
120,,,,,1990,11,17,Sharot,Ashdod(S),,,"לילה
טוניסאית עם ברידלס
1650-1700
40 ס""מ בוש בתחתון",,FALSE,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"40 Kg 
שק גדול והרבה חול",FALSE,,,40 Kg
