Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Night_drag_comments,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Shark,Bori
24,18,30,05,00,1994,9,21,Levi,Ashdod S,6.5,,,FALSE,,FALSE,2.3,FALSE,,24,,,,,,,,2,40 Kg,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
25,08,,,,1994,9,22,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
26,12,30,15,00,1994,9,22,Levi,Ashdod N,,2.7,,FALSE,,FALSE,,FALSE,,26,,,,,,,,,,,,,,,,,,7 M+,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
27,15,30,17,30,1994,9,22,Levi,Ashdod N,,2.6,,FALSE,,FALSE,,FALSE,,27,,,,,,,,,,,,,,,,,,8 B+,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
28,,,,,1994,9,22,Levi,,,,night,TRUE,,FALSE,,FALSE,,28,,,,,,,,,,,,,,,150 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
29,06,15,08,30,1994,9,23,Sharot,,,,,FALSE,,FALSE,,FALSE,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
30,09,45,13,00,1994,9,23,Sharot,Ashdod N,,1.8,,FALSE,,FALSE,,FALSE,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,11,,,,,FALSE,,,,,,,,,,,
31,14,00,18,00,1994,9,23,Sharot,Bat yam N,,4,,FALSE,,FALSE,,FALSE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
32,19,30,05,00,1994,9,23,Sharot,gaas S,50,,,FALSE,,FALSE,,FALSE,,32,,,,,,,,,,,,,,,180 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
33,06,00,10,00,1994,9,24,Sharot,gaas S,,4,,FALSE,,FALSE,,FALSE,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
34,10,30,14,00,1994,9,24,Sharot,Jaffa S,,3.8,,FALSE,,FALSE,,FALSE,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
35,14,40,17,40,1994,9,24,Sharot,tzinor N,,2.55,,FALSE,,FALSE,,FALSE,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
36,22,00,05,00,1994,9,24,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,36,,,,,,,,,,,,,,,120 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
37,06,30,09,30,1994,9,25,Sharot,Bat yam S,,2.5,,FALSE,,FALSE,,FALSE,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
38,11,00,14,00,1994,9,25,Sharot,Ashdod S,,2.2,,FALSE,,FALSE,,FALSE,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
39,15,30,18,00,1994,9,25,Sharot,Ashdod N,,1.9,,FALSE,,FALSE,,FALSE,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,9,,,,,FALSE,,,,,,,,,,,
40,19,30,05,00,1994,9,25,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,40,,,,,,,,,,,,,,,130 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
41,02,00,07,00,1994,9,28,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,41,,,,,,,,,,,,,,,60 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
42,08,00,12,30,1994,9,28,Sharot,Tel Aviv,27,,,FALSE,,FALSE,,FALSE,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
43,13,00,18,00,1994,9,28,Sharot,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
44,19,00,24,00,1994,9,28,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,44,,,,,,,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
45,00,30,06,00,1994,9,29,Sharot,Tel Aviv S,50,,,FALSE,,FALSE,,FALSE,,45,,,,,,,,,,,,,,,60 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
46,06,30,11,30,1994,9,29,Sharot,,27,,,FALSE,,FALSE,,FALSE,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
47,07,00,10,00,1994,10,07,Levi,Ashdod N,,2.7,,FALSE,,FALSE,,FALSE,,47,,,,,,,,,,,,,,,,5,,12 B+,,,,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
48,10,45,14,30,1994,10,07,Levi,Bat yam N,27,,,FALSE,,FALSE,,FALSE,,48,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,0.5,,,,,,,,FALSE,,,,,,,,,,,
49,15,00,17,30,1994,10,07,Levi,Herzelia S,,4,,FALSE,,FALSE,,FALSE,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
50,19,00,24,30,1994,10,07,Levi,Bat yam S,,1.6,,FALSE,,FALSE,,FALSE,,50,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
51,01,00,06,00,1994,10,07,Levi,Bat yam S,,1.5,,FALSE,,FALSE,,FALSE,Gambari,51,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
52,06,15,10,15,1994,10,08,Levi,tzinor N,17,,,FALSE,,FALSE,,FALSE,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
53,10,45,14,15,1994,10,08,Levi,Riding S,27,,,FALSE,,FALSE,,FALSE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
54,15,15,17,30,1994,10,08,Levi,Palmachim S,27,,,FALSE,,FALSE,,FALSE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
55,21,00,05,30,1994,10,08,Levi,Ashdod N,16,,,FALSE,,FALSE,,FALSE,,55,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
56,07,00,10,00,1994,10,09,Levi,Bat yam S,18,,,FALSE,,FALSE,,FALSE,,56,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
57,11,00,14,00,1994,10,09,Levi,Jaffa N,16,2,,FALSE,,FALSE,,FALSE,,57,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1.5,,,,,,,,FALSE,,,,,,,,,,,
58,15,00,19,00,1994,10,09,Levi,gaas N,16,,,FALSE,,FALSE,,FALSE,,58,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
59,20,00,02,00,1994,10,09,Levi,bank,,,,FALSE,,FALSE,,FALSE,,59,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
60,03,00,07,15,1994,10,10,Levi,gaas S,,,,FALSE,,FALSE,,FALSE,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,9,,,,,FALSE,,,,,,,,,,,
61,08,00,09,00,1994,10,10,Levi,Jaffa S,,2.6,,FALSE,,FALSE,,FALSE,,61,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,,,,
62,09,30,13,00,1994,10,10,Levi,Bat yam S,,3.1,,FALSE,,FALSE,,FALSE,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
63,14,00,17,30,1994,10,10,Levi,Bat yam S,27,,,FALSE,,FALSE,,FALSE,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
64,22,30,05,00,1994,10,10,Levi,Ashdod S,7,,,FALSE,,FALSE,,FALSE,Gambari,64,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
65,06,45,09,45,1994,10,11,Levi,Ashdod S,,2.7,,FALSE,,FALSE,,FALSE,,65,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
66,10,15,14,00,1994,10,11,Levi,Bat yam N,,2.45,,FALSE,,FALSE,,FALSE,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
67,14,30,17,30,1994,10,11,Levi,Jaffa S,27,,,FALSE,,FALSE,,FALSE,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
68,19,00,01,30,1994,10,11,Levi,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,68,,,,,,,,,,,,,,,250 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
69,02,00,06,00,1994,10,11,Levi,Herzelia N,50,,,FALSE,,FALSE,,FALSE,,69,,,,,,,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
70,07,30,11,00,1994,10,12,Levi,Natanya S,28,,,FALSE,,FALSE,,FALSE,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
71,18,00,03,00,1994,10,12,Levi,,50,,,FALSE,,FALSE,,FALSE,,71,,,,,,,,,,,,,,,200 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
72,08,30,12,15,1994,10,13,Levi,Ashdod S,,1.4,,FALSE,,FALSE,,FALSE,,72,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,3,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
73,23,00,06,00,1994,10,14,Sharot,Ashdod N,,,,FALSE,,FALSE,,FALSE,,73,,,,,,,,,,,,,,,120 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
74,07,30,10,00,1994,10,14,Sharot,Bat yam S,,2.5,,FALSE,,FALSE,,FALSE,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
75,11,30,14,30,1994,10,14,Sharot,Ashdod S,,1.4,,FALSE,,FALSE,,FALSE,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
76,15,30,18,00,1994,10,14,Sharot,Ashdod N,,4,,FALSE,,FALSE,,FALSE,,76,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
77,19,00,01,00,1994,10,14,Sharot,Ashdod N,5,,,FALSE,,FALSE,,FALSE,,77,,,,,,,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
78,01,30,05,45,1994,10,15,Sharot,Tel Aviv S,50,,,FALSE,,FALSE,,FALSE,,78,,,,,,,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
79,06,30,10,30,1994,10,15,Sharot,Ashdod N,,4,,FALSE,,FALSE,,FALSE,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,,,,
80,11,30,15,00,1994,10,15,Sharot,Jaffa N,,3.75,,FALSE,,FALSE,,FALSE,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
81,15,30,18,00,1994,10,15,Sharot,gaas S,,2.75,,FALSE,,FALSE,,FALSE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
82,19,30,03,30,1994,10,15,Sharot,Herzelia S,50,,,FALSE,,FALSE,,FALSE,,82,,,,,,,,,,,,,,,160 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
83,07,15,11,00,1994,10,16,Sharot,Ashdod N,,4,,FALSE,,FALSE,,FALSE,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,,,,
84,11,30,15,00,1994,10,16,Sharot,Jaffa N,,2.85,,FALSE,,FALSE,,FALSE,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12,,,,,FALSE,,,,,,,,,,,
85,15,30,18,00,1994,10,16,Sharot,gaas S,,2.85,,FALSE,,FALSE,,FALSE,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
86,19,00,24,30,1994,10,16,Sharot,Natanya,8,,,FALSE,,FALSE,,FALSE,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
87,02,30,06,30,1994,10,17,Sharot,Natanya S,50,,,FALSE,,FALSE,,FALSE,,87,,,,,,,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
88,08,00,10,30,1994,10,17,Sharot,Jaffa S,27,,,FALSE,,FALSE,,FALSE,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
89,11,30,14,40,1994,10,17,Sharot,Bat yam S,,2.5,,FALSE,,FALSE,,FALSE,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
90,15,15,17,30,1994,10,17,Sharot,Ashdod N,,2.5,,FALSE,,FALSE,,FALSE,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
91,23,00,06,00,1994,10,18,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,91,,,,,,,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
92,07,00,11,00,1994,10,18,Sharot,Jaffa S,,2.55,,FALSE,,FALSE,,FALSE,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,,
93,11,15,14,00,1994,10,18,Sharot,Ashdod N,,2.55,,FALSE,,FALSE,,FALSE,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,,
94,14,30,18,00,1994,10,18,Sharot,Bat yam S,,1.88,,FALSE,,FALSE,,FALSE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
95,18,30,05,30,1994,10,18,Sharot,Ashdod,,,,FALSE,,FALSE,,FALSE,Gambari,95,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
96,06,30,09,30,1994,10,19,Sharot,Bat yam S,,2.5,,FALSE,,FALSE,,FALSE,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
97,10,30,14,00,1994,10,19,Sharot,Ashdod S,,2.2,,FALSE,,FALSE,,FALSE,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
98,14,30,18,00,1994,10,19,Sharot,Ashdod S,,2.2,,FALSE,,FALSE,,FALSE,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
99,21,00,05,30,1994,10,19,Sharot,Ashdod S,,1.4,,FALSE,,FALSE,,FALSE,,99,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
100,08,30,12,10,1994,10,30,Levi,Ashdod,20,4,,FALSE,,FALSE,,FALSE,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,,
101,13,00,17,00,1994,10,30,Levi,Ashkelon N,22,,,FALSE,,FALSE,,FALSE,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
102,19,00,06,00,1994,10,30,Levi,Ashdod N,12,,,FALSE,,FALSE,,FALSE,,102,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
103,06,30,10,30,1994,10,31,Levi,Ashdod S,17,,,FALSE,,FALSE,,FALSE,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
104,11,00,15,00,1994,10,31,Levi,Katza N,,4,,FALSE,,FALSE,,FALSE,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
105,15,30,19,30,1994,10,31,Levi,Ashdod S,,4,,FALSE,,FALSE,,FALSE,,105,,,,,,,,3,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
106,20,00,05,15,1994,10,31,Levi,Ashdod S,12,,,FALSE,,FALSE,,FALSE,,106,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
107,06,00,11,00,1994,11,01,Sharot,Ashdod S,,4,,FALSE,,FALSE,,FALSE,,107,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
