Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Tamnoon,Soltan_Hol,Adom,Shark,Tuna,Deba,Alafuchim,Sardin_round
33,18,15,05,00,2007,10,15,Doly,Katza S,,1.3,,,FALSE,,FALSE,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1 Ind L+,,,,,,,,FALSE,,,,,,,,
34,05,45,08,45,2007,10,16,Doly,Katza N,,1.6,,,FALSE,,FALSE,,34,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,0.25,,,,,,FALSE,,,,,2.75,,,,,FALSE,,,,,,,,
35,09,15,12,30,2007,10,16,Doly,Ashdod S,,1.6,,,FALSE,,FALSE,,35,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
36,13,00,17,00,2007,10,16,Doly,Katza,,1.6,,,FALSE,,FALSE,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TORN NET,,,,,,,,,FALSE,,,,,,,,
37,17,45,22,15,2007,10,16,Doly,Katza N,,1.5,,,FALSE,,FALSE,Gambari,37,,,,,3,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
38,22,45,02,45,2007,10,16,Doly,Katza N,,1.4,,,FALSE,,FALSE,Gambari,38,,,,,2,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
39,09,00,11,45,2007,10,17,Doly,Ashdod S,,1.6,,,FALSE,,FALSE,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
40,13,15,16,45,2007,10,17,Doly,Katza N,22.5,,,,FALSE,,TRUE,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,net functioning bad,,,,,,,,,FALSE,,,,,,,,
41,18,00,05,00,2007,10,17,Doly,Ashdod S,,1.5,,,FALSE,,FALSE,Gambari,41,,,,,2,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
42,14,15,17,15,2007,10,18,,Ashdod N,,,,,FALSE,,FALSE,,42,,,,,,,,,,,,0.5,,,,,,0.5,,1,3 S+,,,,,,1,,,,,,1 S+1 M+,,1,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
43,18,00,,,2007,10,18,Doly,Bat yam S,16.5,,,,FALSE,,FALSE,Gambari,43,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
44,08,30,12,15,2007,10,19,Doly,Ashdod S,22.5,,,,FALSE,,FALSE,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,no fish,,,,,,,,,FALSE,,,,,,,,
45,13,00,17,00,2007,10,19,Doly,Ashkelon N,27.5,,,,FALSE,,FALSE,,45,2,,,,,,,,,,,,,,1,1 S+1 B+,,,,,,,,,,,2,,,,1,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
46,17,45,22,30,2007,10,19,Doly,Ashdod N,16,,,,FALSE,,FALSE,Gambari,46,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
47,23,00,04,00,2007,10,19,Doly,Jaffa S,16.5,,,,FALSE,,FALSE,Gambari,47,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
48,04,30,08,30,2007,10,20,Doly,Ashdod N,,,,,FALSE,,FALSE,,48,,,,,,,,,,,,,,,,1 S+1 M+,0.5,,,0.5,3+1 S+,1,,,,,,,,,,,1,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
49,09,00,12,45,2007,10,20,Doly,Jaffa S,,3.4,,,FALSE,,FALSE,,49,,,,,,,,,,,,,,,,,,,,,1 S+,1,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
50,13,30,17,00,2007,10,20,Doly,Ashdod N,,2,,,FALSE,,FALSE,,50,,,,,,,,,,,,,,,,,0.5,0.5,,1,4,,,,,,1,,,,,,2,,1,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
51,17,45,23,45,2007,10,20,Doly,Jaffa S,,14.5,,,FALSE,,FALSE,Gambari,51,,,,,,,,,23 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
52,00,15,05,00,2007,10,20,Doly,Ashdod N,15,,,,FALSE,,FALSE,Gambari,52,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
53,09,45,13,15,2007,10,21,Doly,Ashdod S,25,1.4,,,FALSE,,FALSE,,53,,,,,0.5,,1.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
54,13,30,17,15,2007,10,21,Doly,Ashkelon S,,1.4,,,FALSE,,FALSE,,54,,,,1,1,,2,,,,,,,,1,,,0.5 L+,,,1.5,,,,,,,,,,,,,1,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
55,18,00,03,00,2007,10,21,Doly,Ashdod S,,,,,FALSE,,FALSE,Gambari,55,,,,,4,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
56,21,30,01,00,2007,10,24,Zion,Ashdod N,16,,,,FALSE,,FALSE,Gambari,56,,,,,1,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
57,01,30,04,30,2007,10,24,Zion,Ashdod N,,,,,FALSE,,FALSE,Gambari,57,,,,,1,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
58,11,00,14,30,2007,10,29,Levi,Ashdod S,16,2.2,,,FALSE,,FALSE,,58,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
59,15,00,18,00,2007,10,29,Levi,Katza N,10,,,,FALSE,,FALSE,,59,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
60,19,00,00,00,2007,10,29,Levi,Ashdod S,8,,,,FALSE,,FALSE,Gambari,60,,,,,1,,,,15 Kg,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
61,01,00,05,30,2007,10,29,Levi,Ashdod S,13,,,,FALSE,,FALSE,Gambari,61,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
62,06,30,10,45,2007,10,30,Levi,Ashdod N,,3,,,FALSE,,FALSE,,62,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,1,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
63,11,00,14,30,2007,10,30,Levi,Jaffa S,,2.8,,,FALSE,,FALSE,,63,,,,,,,,,,,,1,,,,1,,2 B+1 L+,,1,1,,,,,,1,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
64,15,15,17,30,2007,10,30,Levi,Kor N,,2.3,,,FALSE,,FALSE,,64,,,,,,,,,,,,,,,,1 M+,,,,,2,,,,,,,,,,,,4,,1,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
65,18,30,,,2007,10,30,Levi,Ashdod N,,,,,FALSE,,FALSE,Gambari,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
66,06,15,09,45,2007,10,31,Levi,Ashdod N,,2.8,,,FALSE,,FALSE,,66,,,,,,,,,,,,,,,,0.5 S+0.5 M+,,,,1,3,,,,,,2,,,,,,2,,1,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
67,10,15,13,00,2007,10,31,Levi,Jaffa N,,2.75,,,FALSE,,FALSE,,67,,,,,,,2.5,,,,,,,,,1 M+,,3 B+1 L+,,0.5,0.5 L+,,,,,,,,,,1,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
68,13,45,17,45,2007,10,31,Levi,Gaash N,,3.5,,,FALSE,,FALSE,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,
69,,,,,2007,10,,,,,,,,FALSE,,FALSE,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
70,18,30,20,00,2007,10,31,Levi,,15,,,,FALSE,,FALSE,Gambari,70,,,,,,,0.5,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,0.5,,,,,,,,FALSE,,,,,,,,
71,20,30,05,30,2007,10,31,Levi,Jaffa,16.5,,,,FALSE,,FALSE,Gambari,71,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
72,06,15,,,2007,11,1,Levi,Rishon S,,2.7,,,FALSE,,FALSE,,72,,,,,,,,,,,,,,,,,,,,1,2,,,,,,2,,,,,,3,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
73,09,30,13,30,2007,11,1,Levi,Ashdod S,16,2.2,,,FALSE,,FALSE,,73,,,,,2,,1,,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
74,13,30,17,30,2007,11,1,Levi,Katza N,14,,,,FALSE,,FALSE,,74,,,,,2,,0.5,,,,,,,,2,,,,,0.5,1,,,,,,,,,,,,,1,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
75,19,30,03,00,2007,11,1,Levi,Ashdod N,,1.6,,,FALSE,,FALSE,Gambari,75,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
76,12,00,15,00,2007,11,2,Levi,Ashdod N,,,,,FALSE,,FALSE,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,
77,16,30,23,00,2007,11,2,Levi,Ashdod N,16.5,,,,FALSE,,FALSE,Gambari,77,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
78,23,30,05,30,2007,11,2,Levi,Ashdod N,16.5,,,,FALSE,,FALSE,Gambari,78,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
79,06,30,10,00,2007,11,3,Levi,Ashdod N,,3.1,,,FALSE,,FALSE,,79,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1.5,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
80,11,00,14,00,2007,11,3,Levi,Jaffa S,32,3.5,,,FALSE,,FALSE,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1 L+,,,1,,,,,FALSE,,,,,,,,
81,14,30,17,30,2007,11,3,Levi,Palmachim S,42,,,,FALSE,,FALSE,,81,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,2 B+,1.5 M+,,,,,,,,FALSE,,,,,1,,,,,FALSE,0.5,,,,,,,
82,19,00,01,00,2007,11,3,Levi,Ashdod N,16.5,,,,FALSE,,FALSE,Gambari,82,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
83,01,30,05,30,2007,11,3,Levi,Ashdod N,16.5,,,,FALSE,,FALSE,Gambari,83,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
84,07,00,10,00,2007,11,4,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,84,,,,,,,,,,,,,1,,,1,,,,1,1,1 S+1 L+,,,,,1,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
85,10,30,13,30,2007,11,4,Levi,Ashkelon N,,3.6,,,FALSE,,FALSE,,85,,,,,,,0.5,,,,,,,,,,,,,0.5,1,2.5 M+,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
86,14,00,17,30,2007,11,4,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,86,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
87,18,30,03,00,2007,11,4,Levi,Ashdod N,16.5,,,,FALSE,,FALSE,Gambari,87,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
88,10,00,13,00,2007,11,5,Doly,Ashdod S,,1.4,,,FALSE,,FALSE,,88,,,,,1,,1.5,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
89,13,30,17,15,2007,11,5,Doly,Katza N,,2.2,,,FALSE,,FALSE,,89,,,,,,,,,,,,,,,1,1 S+1 M+,,1 S+,,1,2.5,,,,,,2,,,,,,,,,,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,
90,17,45,23,00,2007,11,5,Doly,Ashdod N,16,,,,FALSE,,FALSE,Gambari,90,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
91,23,15,05,15,2007,11,5,Doly,Jaffa S,16,,,,FALSE,,FALSE,,91,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
92,06,00,10,00,2007,11,6,Doly,Ashdod S,,1.8,,,FALSE,,FALSE,,92,,,,,1,,,,,,,,,,1,,,21 S+1 M+,,1,3,,,,,,1,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
93,10,30,13,45,2007,11,6,Doly,Ashdod S,,1.8,,,FALSE,,FALSE,,93,,,,,1,,,,,,,,0.5,,,,,,,0.5,2,,,,,,1,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
94,14,15,17,15,2007,11,06,Doly,Ashdod S,,2.6,,,FALSE,,FALSE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5.5,,,,,FALSE,,,,,,,,
95,18,00,,,2007,11,06,Doly,Ashdod N,,1.6,,,FALSE,,FALSE,Gambari,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
96,08,00,09,45,2007,11,8,Doly,Ashdod N,,,,,FALSE,,FALSE,,96,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,1,,,,
97,10,15,13,00,2007,11,8,Doly,Palmachim N,,3,,,FALSE,,FALSE,,97,,,,,,,,,,,,,,,,1 S+1 M+,,,,,,,,,,,1,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
98,13,30,17,00,2007,11,8,Doly,Ashdod S,,2,,,FALSE,,FALSE,,98,,,,,,,,,1,,,,,,1,2 S+2 M+,,,,,,,,,,,,,,,,,,,1,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
99,17,30,22,45,2007,11,8,Doly,,,1.8,,,FALSE,,FALSE,Gambari,99,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
100,23,00,03,30,2007,11,8,Doly,Jaffa S,,14.5,,,FALSE,,FALSE,Gambari,100,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
101,08,00,11,00,2007,11,9,Doly,Ashdod S,,1.4,,,FALSE,,FALSE,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,
102,12,00,14,30,2007,11,,Doly,,,2.2,,,FALSE,,FALSE,,102,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
103,15,00,17,00,2007,11,9,Doly,Ashdod N,,4,,,FALSE,,FALSE,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
104,18,00,23,15,2007,11,9,Doly,Ashdod N,16,,,,FALSE,,FALSE,Gambari,104,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
105,23,45,05,15,2007,11,9,Doly,Ashdod N,16,,,,FALSE,,FALSE,Gambari,105,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
106,06,30,09,30,2007,11,10,Doly,Palmachim N,42,,,,FALSE,,FALSE,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,no fish,,,,,,,,,FALSE,,,,,,,,
107,10,15,13,15,2007,11,10,Doly,Jaffa N,,,,,FALSE,,FALSE,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,
108,13,45,17,15,2007,11,10,Doly,Hertzlia S,,,,,FALSE,,FALSE,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,
109,17,45,23,15,2007,11,10,Doly,Jaffa S,16,,,,FALSE,,FALSE,Gambari,109,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
110,23,45,,,2007,11,10,Doly,Ashdod N,16,,,,FALSE,,FALSE,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
111,14,00,17,00,2007,11,19,Levi,Ashdod S,,2.6,,,FALSE,,FALSE,,111,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
