Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Sardin_round,Shark
16,,,,,2008,10,05,Vadim,Ashdod N,,1.4,,,FALSE,,FALSE,Gambari,16,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
17,08,30,12,00,2008,10,06,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,17,,,,,,,,,,,,,,,4,2,,3,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
18,13,30,16,00,2008,10,06,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,18,,,,,,,,,,,1,,,,4,,,3,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
19,16,30,19,00,2008,10,06,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,19,,,,,,,,,,,,1,,,,,,4,,,,4,,,,,,,1.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
20,,,,,2008,10,06,Vadim,Ashdod N,,1.4,,,FALSE,,FALSE,Gambari,20,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
21,06,30,10,00,2008,10,07,Vadim,Ashdod S,24,,,,FALSE,,FALSE,,21,,,,,,,,,,,,1,,,3,,,2,,,,7,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
22,10,30,14,00,2008,10,07,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,22,,,,,,,,,,,1,,,,2,1.5 S+1 M+,,,,,,2.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
23,,,,,2008,10,07,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,23,,,,,,,,,,,,1,,,2,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
24,,,,,2008,10,07,Vadim,Ashdod S,27,,,,FALSE,,FALSE,Gambari,24,,,,,,,,,22 Kg,,,2.5,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,lokus ind or box?,1 L+,,,,,,,,FALSE,,,,,,,,,,,
25,10,00,13,00,2008,10,10,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,25,,,,,,,,,,,,,,,1,,,2,,,1,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
26,14,00,17,30,2008,10,10,Vadim,Ashdod S,,5,,,FALSE,,FALSE,,26,,,,,1,,,,,,,,,,1.5,,,,,,1,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
27,18,00,21,30,2008,10,10,Vadim,Ashdod S,27,,,,FALSE,,FALSE,,27,,,,,1,,,,7 Kg,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
28,,,,,2008,10,10,Vadim,Ashdod S,27,,,,FALSE,,FALSE,Gambari,28,,,,,,,,,20 Kg,,,2.5,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
29,06,30,10,00,2008,10,11,Vadim,Ashdod S,31,,,,FALSE,,FALSE,,29,,,,,,,,,,,,1,,,,,,,,,1,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
30,11,00,4,30,2008,10,11,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,30,,,,,1,,,,,,,,,,1,,,,,,2,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
31,15,00,19,00,2008,10,11,Vadim,Ashdod S,,3.5,,,FALSE,,FALSE,,31,,,,,1,,,,10 Kg,,,1,,,,,,,,,2.5,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
32,,,,,2008,10,11,Vadim,Ashdod N,,1.4,net problem?,,FALSE,,FALSE,,32,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
33,06,30,10,00,2008,10,12,Vadim,Ashdod N,,2.1,,,FALSE,,FALSE,,33,,,,,,,,,,,,,1,,0.5,,,,,,1,,,,,,,,,,,,,,,4,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
34,10,30,14,00,2008,10,12,Vadim,Jaffa S,32,,,,FALSE,,FALSE,,34,,,,,,,,,,,,1,,,,,,,,,1,1.5,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
35,14,30,18,30,2008,10,12,Vadim,Ashdod N,32,,,,FALSE,,FALSE,,35,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,2,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
36,,,,,2008,10,12,Vadim,Ashdod S,27,,,,FALSE,,FALSE,Gambari,36,,,,,3,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
37,10,30,14,00,2008,10,20,Vadim,Ashdod S,32,,,,FALSE,,FALSE,,37,,,,,,,,,,,,1,,,,,,,,,,1.5,,,,,,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
38,15,00,18,00,2008,10,20,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,38,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
39,19,30,00,00,2008,10,20,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,39,,,,,,,,,20 Kg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
40,00,30,05,00,2008,10,20,Vadim,,,,,,FALSE,,FALSE,Gambari,40,,,,,,,,,20 Kg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
41,05,30,09,30,2008,10,21,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,41,,,,,,,,,,,,0.5,,,,,,,,,1.5,0.5,,,,,,,,,,,2,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
42,11,30,14,30,2008,10,21,Vadim,Ashdod S,26,,,,FALSE,,FALSE,,42,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,2,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
43,15,00,18,3,2008,10,21,Vadim,Ashdod S,32,,,,FALSE,,FALSE,,43,,,,,,,,,3 Kg,2,,1.5,,,,,,,,,,,,,,,,,1.5,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
44,19,30,02,30,2008,10,21,Vadim,Ashdod N,28,,,,FALSE,,FALSE,,44,,,,,,,,,30 Kg,2,,1,,,,,,,,,,,,,,,,,1.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
45,09,00,12,30,2008,10,22,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,45,,,,,,,,1 S+2 M+,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
46,13,00,16,30,2008,10,22,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,46,,,,,,,,1 M+,,,,,,,,,,,,,2,0.5,,,,,1,,,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
47,17,00,20,30,2008,10,22,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,47,,,,,,,,2 M+,10 Kg,3 S+,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
48,21,00,01,30,2008,10,22,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,48,,,,,,,,,20 Kg,5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
49,02,00,06,30,2008,10,22,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,49,,,,,,,,,20 Kg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
50,07,00,10,30,2008,10,23,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,50,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
51,11,30,15,00,2008,10,23,Vadim,Ashdod N,32,,,,FALSE,,FALSE,,51,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.5,,,,,,,2,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
52,15,30,18,00,2008,10,23,Vadim,Ashdod S,,3.4,,,FALSE,,FALSE,,52,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,2,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
53,18,30,02,00,2008,10,23,Vadim,,,,,,FALSE,,FALSE,,53,,,,,,,,,40 Kg,3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
54,10,30,14,00,2008,10,24,Vadim,Ashdod S,31,,,,FALSE,,FALSE,,54,,,,,,,,,,,,,,,1,,,,,,0.5,0.5,,,,,,,1,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
55,14,30,18,00,2008,10,24,Vadim,Ashdod S,27,,,,FALSE,,FALSE,,55,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1.5,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
56,19,00,00,30,2008,10,24,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,56,,,,,2,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
57,01,00,05,30,2008,10,24,Vadim,,,,,,FALSE,,FALSE,Gambari,57,,,,,1,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
58,06,00,09,30,2008,10,25,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,58,,,,,,,,,,,,,,,,,,,,,1.,0.5,,,,,,,,,,,2,,1,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
59,10,30,14,00,2008,10,25,Vadim,Jaffa,,,,,FALSE,,FALSE,,59,,,,,,,,,,,,,,,,,1.5,2,,,2,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
60,14,30,18,00,2008,10,25,Vadim,Jaffa,,,,,FALSE,,FALSE,,60,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
61,19,00,00,30,2008,10,25,Vadim,Jaffa S,,3.2,,,FALSE,,FALSE,,61,,,,,,,,,20 Kg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
62,01,00,05,30,2008,10,25,Vadim,Ashdod N,,,,,FALSE,,FALSE,,62,,,,,,,,,15 Kg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
63,06,00,09,00,2008,10,26,Vadim,Jaffa N,,4,,,FALSE,,FALSE,,63,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
64,10,00,13,00,2008,10,26,Vadim,Hadera S,,,,,FALSE,,FALSE,,64,,,,,,,,,,,,,,,,,,1,,,0.5,5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,5,,,,,,,,
65,13,30,17,30,2008,10,26,Vadim,Hadera S,,,,,FALSE,,FALSE,,65,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
66,10,00,13,40,2008,10,27,Levi,Ashdod S,22,,,,FALSE,,FALSE,,66,,,,,,,,,,,,0.5,,,3,1,,,,,1.5,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
67,14,15,18,15,2008,10,27,Levi,Gazza N,25,,,,FALSE,,FALSE,,67,,,,,,,,,,,,1,,,2,,,1,,,1.5,,,,,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
68,19,20,00,30,2008,10,27,Levi,Bat yam S,,2.8,,,FALSE,,FALSE,,68,,,,,,,,,25 Kg,,,,,,,2,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
69,01,00,05,45,2008,10,27,Levi,Ashdod N,,2.6,,,FALSE,,FALSE,,69,,,,,,,,,30 Kg,,,,,,,3,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
70,07,15,11,15,2008,10,28,Levi,Ashdod N,,2.2,,,FALSE,,FALSE,,70,,,,,1,,,,,,,1,,,5,1,,1 S+1 L+,,,2.5,0.5,,,,,,,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
71,12,00,15,30,2008,10,28,Levi,Ashkelon S,,22,,,FALSE,,FALSE,,71,,,,,,,,,,,,,,,3,1,,9 B+3 S+,,,1.5,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
72,16,00,18,30,2008,10,28,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,72,,,,,12,,,,10 Kg,,,0.25,,,,,,,,,,,,,,,,,0.25,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
73,19,30,02,30,2008,10,28,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,73,,,,,3,,,1,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
74,11,00,15,00,2008,10,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,74,,,,,1,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,1,,,,,
75,15,30,21,00,2008,10,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,75,,,,,2,,,,25 Kg,,,1,,,,,,,,,2 L+,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
76,21,30,02,30,2008,10,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,76,,,,,2,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
77,03,00,08,00,2008,10,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,77,,,,,1.5,,,,12,,,,,,,1,,1,,,2,,,,,,,,,,,,,,,,FALSE,,1 Ind L+,,,,,,,,FALSE,,,,,,,,,,,
78,09,00,12,30,2008,10,30,Levi,Ashdod S,22,,,,FALSE,,FALSE,,78,,,,,1,,,,,,,,0.5,,2,,,,,0.5,2,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,1.5,,,,,
79,09,10,13,00,2008,11,01,Levi,Ashdod S,22,,,,FALSE,,FALSE,,79,,,,,,,,,,,,1,,,2,1,,,,,1.5,2,,,,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
80,13,30,17,30,2008,11,01,Levi,Gazza N,28,,,,FALSE,,FALSE,,80,,,,,,,,,,,,1,,,1,,,,,,1 S+,2.5,,,,,,,0.5,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
81,18,45,00,00,2008,11,01,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,81,,,,,2.5,,,,45 Kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,,,,
82,00,30,,,2008,11,01,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,82,,,,,4,,,,50 Kg,,,,,,,2,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
83,06,30,10,20,2008,11,02,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,83,,,,,1,,,,,,,0.5,,,2,1,,0.5,,,,,,,,,,,1,,,,,,,,FALSE,,1 Ind,,,,,,,,FALSE,,,,,,,,,,,
84,11,00,14,30,2008,11,02,Levi,Ashkelon S,26,,,,FALSE,,FALSE,,84,,,,,,,,,,,,0.5,,,2,,,,,,,,,,,,,,1,,,,1,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
85,15,00,18,30,2008,11,02,Levi,,24,,,,FALSE,,FALSE,,85,,,,,,,,4,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
86,19,00,01,00,2008,11,02,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,86,,,,,4,,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
87,14,30,18,00,2008,11,03,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,87,,,,,,,,,,,,1,,,,,,,,,0.5,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
88,18,30,22,00,2008,11,03,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,88,,,,,,,,,25 Kg,2,,1.5,,,,1 M+,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
89,22,30,03,00,2008,11,03,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,89,,,,,,,,,50 Kg,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
90,03,30,07,00,2008,11,03,Vadim,,,,,,FALSE,,FALSE,,90,,,,,,,,,20 Kg,,,1,,,,,,,,,1.5,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
91,07,30,11,00,2008,11,04,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,91,,,,,1,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,2,,,,,
92,11,30,15,00,2008,11,04,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,92,,,,,2,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,1,,,,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,
93,15,30,19,00,2008,11,04,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,93,,,,,3,,,,20 Kg,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,
94,19,00,03,00,2008,11,04,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,94,,,,,4,,,,60 Kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
95,07,00,11,00,2008,11,05,Vadim,Ashdod N,32,,,,FALSE,,FALSE,,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
96,12,00,16,00,2008,11,05,Vadim,Ashdod N,,2.,,,FALSE,,FALSE,,96,,,,,,,,,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,
97,17,00,21,30,2008,11,05,Vadim,Ashdod S,,3.8,,,FALSE,,FALSE,,97,,,,,4.5,,,1,55 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
98,22,30,04,00,2008,11,05,,Ashdod S,,2.2,,,FALSE,,FALSE,,98,,,,,4,,,2,60 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
99,15,00,18,30,2008,11,06,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,99,,,,,,,,,5 Kg,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
100,19,00,03,00,2008,11,06,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,100,,,,,,,,,70 Kg,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
101,08,00,11,30,2008,11,07,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,101,,,,,,,,,,1,,1,,,,,,,,,1.5,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,
102,12,00,15,30,2008,11,07,Vadim,Jaffa N,,2.8,,,FALSE,,FALSE,,102,,,,,,,,,,,,,,,,,,,,0.5,1,5,,,,,,,,,,,,,,1 S+,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
103,16,00,19,30,2008,11,07,Vadim,Jaffa N,,2.8,,,FALSE,,FALSE,,103,,,,,,,,,7 Kg,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
104,20,30,05,00,2008,11,07,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,104,,,,,,,,,100 Kg,,,,,,,2,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
105,06,00,10,00,2008,11,08,Vadim,Palmachim N,,3.5,,,FALSE,,FALSE,,105,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
106,10,30,14,00,2008,11,08,Vadim,Riding S,,2.8,,,FALSE,,FALSE,,106,,,,,,,,,,,,0.5,,,,,,,,,1,3,,,,,,,,,,,,,,1 S+,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
107,14,30,18,30,2008,11,08,Vadim,Riding S,,2.8,,,FALSE,,FALSE,,107,,,,,,,,,,,,1,,,,,,,,1,,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
