22,night_drag_prawn,night_drag_prawn,,,,,,,,,,,,,,,,,,
,,Many.Nasralas,,,,,,,,,,,,,,,,,,
23,new_direction,Direction,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
,,Comments,,,,,,,,,,,,,,,,,,
,Lat_shore,Lat_shore,,,,,,,,,,,,,,,,,,
25,lon_shore,Lon_shore,,,,,,,,,,,,,,,,,,
26,perpendicular,Perpendicular,,,,,,,,,,,,,,,,,,
27,Lon_final,Lon_final,,,,,,,,,,,,,,,,,,
28,Lat_final,Lat_final,,,,,,,,,,,,,,,,,,
29,loc_DEPTH,loc_DEPTH,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,Aal,Aal,,,,,,,,,,
34,,,,,,,,,Arg,Arg,,,,,,,,,,
35,,,,,,,,,BAT,BAT,,,,,,,,,,
36,,,,,,,,,Bbo,Bbo,,,,,,,,,,
37,,,,,,,,,Bca,Bca,,,,,,,,,,
38,,,,,,,,,BOX,BOX,,,,,,,,,,
39,Aal,Eer,,,,,,,Ccr,Ccr,,,,,,,,,,
40,Arg,Sig,,,,,,,,Dce,,,,,,,,,,
41,BAT,Mme,,,,,,,DIP,DIP,,,,,,,,,,
42,Bbo,Nra,,,,,,,Eer,Eer,,,,,,,,,,
43,Bca,Aal,,,,,,,Eha,Eha,,,,,,,,,,
44,BOX,BOX,,,,,,,EPI,EPI,,,,,,,,,,
45,Ccr,Pse,,,,,,,FIS,FIS,,,,,,,,,,
46,DIP,Eha,,,,,,,Lbu,Lbu,,,,,,,,,,
47,Eer,Pca,,,,,,,Lmo,Lmo,,,,,,,,,,
48,Eha,FIS,,,,,,,Lvu,Lvu,,,,,,,,,,
49,EPI,Per,,,,,,,Mae,,,,,,,,,,,
50,FIS,Rrh,,,,,,,Mce,,,,,,,,,,,
51,Lbu,Psa,,,,,,,Mme,Mme,,,,,,,,,,
52,Lmo,Sd,,,,,,,MUL,MUL,,,,,,,,,,
53,Lvu,Lvu,,,,,,,MUL_UP,MUL_UP,,,,,,,,,,
54,Mae,WHT,,,,,,,Nra,Nra,,,,,,,,,,
55,Mce,SPH,,,,,,,Ovu,Ovu,,,,,,,,,,
56,Mme,Lmo,,,,,,,Pca,Pca,,,,,,,,,,
57,MUL,Arg,,,,,,,Per,Per,,,,,,,,,,
58,MUL_UP,Sso,,,,,,,,Pin,,,,,,,,,,
59,Nra,Ovu,,,,,,,Pja,Pja,,,,,,,,,,
60,Ovu,Sco,,,,,,,Plo,Plo,,,,,,,,,,
61,Pca,Umo,,,,,,,,Psa,,,,,,,,,,
62,Per,Dce,,,,,,,Pse,Pse,,,,,,,,,,
63,Pja,Bbo,,,,,,,Rrh,Rrh,,,,,,,,,,
64,Plo,SPI,,,,,,,SAR,SAR,,,,,,,,,,
65,Pse,Sof,,,,,,,Sau,Sau,,,,,,,,,,
66,Rrh,DIP,,,,,,,Sco,Sco,,,,,,,,,,
67,SAR,SAR,,,,,,,Sd,Sd,,,,,,,,,,
68,Sau,Sja,,,,,,,,Sha,,,,,,,,,,
69,Sco,Sha,,,,,,,,Sig,,,,,,,,,,
70,Sd,Lbu,,,,,,,Sja,Sja,,,,,,,,,,
71,Sja,MUL_UP,,,,,,,Sma,,,,,,,,,,,
72,Sma,SPL,,,,,,,Sof,Sof,,,,,,,,,,
73,Sof,TRA,,,,,,,SPH,SPH,,,,,,,,,,
74,SPH,BAT,,,,,,,SPI,SPI,,,,,,,,,,
75,SPI,Ssi,,,,,,,SPL,SPL,,,,,,,,,,
76,SPL,Ccr,,,,,,,Ssi,Ssi,,,,,,,,,,
77,Ssi,Pin,,,,,,,Sso,Sso,,,,,,,,,,
78,Sso,Plo,,,,,,,Sud,Sud,,,,,,,,,,
79,Sud,Bca,,,,,,,TRA,TRA,,,,,,,,,,
80,TRA,EPI,,,,,,,Umo,Umo,,,,,,,,,,
81,Umo,MUL,,,,,,,Upo,Upo,,,,,,,,,,
82,Upo,Pja,,,,,,,WHT,WHT,,,,,,,,,,
83,WHT,Sau,,,,,,,,,,,,,,,,,,
84,,Sud,,,,,,,,,,,,,,,,,,
85,,Upo,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,Gambari_net,Net_Type,,,,,,,,,,,,,,,,,,
88,depth_meter,Depth_m,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,
