Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,box_only,night_drag_prawn,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Many Nasralas,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Gomber,Vak Vak,Shark,Pijama,Aras
3387,19,30,0,0,2018,1,6,Michael,Ashdod,17.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,10,,0.5,,,,4 Kg,,,1.25,,,1,,,,,1,,,,,,,,,,,,,,,1,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3388,0,30,5,45,2018,1,6,Michael,Ashdod,17,,,,FALSE,,FALSE,,FALSE,FALSE,,,14,,1,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3389,6,15,11,0,2018,1,7,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,,,0.5,,,,,0.5,,,11,,,,,,1,1.5,,,,,,,,,,,,,,2,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3390,11,45,16,15,2018,1,7,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,,,,,,,,0.25,,,8.5,,,0.25,,,1,0.5,,,,,,,,,,,,,,1.5,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3391,16,45,21,30,2018,1,7,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,6,,,,,,0.5,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3392,22,0,2,30,2018,1,7,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,0.5,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3400,14,45,17,0,2018,1,9,Michael,Ashdod,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,0.5,,,3,,,,,,1,2 Kg,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3441,10,45,15,0,2018,1,29,Michael,Ashdod,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,,,,,,,,1,,,9,,,,,,,,,,,,,,,,0.5,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3446,13,0,17,30,2018,1,30,Michael,Ashdod,18.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,,,,,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3449,7,0,12,30,2018,1,31,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3450,13,0,17,30,2018,1,31,Michael,Ashdod,21.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,1.5,,,5,,,,,,0.5,,,,,,,,,,2.25,,,,,,FALSE,FALSE,,2 Kg,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3566,6,45,11,45,2018,3,20,Michael,Ashdod,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,,0.5,,,0.5 Kg,,,,,,,,,,0.5 Kg,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3588,9,45,14,0,2018,4,3,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,0.5,,,,,,,,
3589,14,30,17,45,2018,4,3,Michael,Ashdod,17,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,,,,0.5,,,,,,,1 Kg,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,1 Kg,,,,,,,,
3594,6,30,11,0,2018,4,5,Michael,Ashdod,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,,,1 S+,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2 B+0.5 S+,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,,,,
3595,11,30,15,45,2018,4,5,Michael,Ashdod,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,3 Kg,,,,,FALSE,,,,,,2 Kg,,,,,,,,
3606,13,15,17,15,2018,4,9,Michael,Ashdod,17.25,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.25,,,,0.25 S+,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,1.25,,,,,,,,
3612,7,6,13,15,2018,4,11,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,2.5 Kg,,,,,0.5,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3613,15,0,18,45,2018,4,11,Michael,Ashdod,17,,,,FALSE,,FALSE,,FALSE,FALSE,7 B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Kg,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3616,7,45,13,15,2018,4,12,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3661,6,30,11,15,2018,5,2,Michael,Ashdod,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3662,12,0,15,45,2018,5,2,Michael,Ashdod,21,,,,FALSE,,FALSE,,FALSE,FALSE,,,3 Kg,,,,,,,,,2.5 Kg,,,1.5 Kg,,,,,,,,,,1.5 Kg,,,,,,,,,,,,FALSE,FALSE,,1 Kg 6.5 Kg,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3748,16,15,10,15,2018,6,8,Michael,Ashdod,18.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5 B+,,,0.33,,,,,,FALSE,FALSE,,,,,0.66,,,,,FALSE,,,,,,,,,,,,,,
3761,16,15,18,45,2018,6,11,Michael,Ashdod,17.5,,,,FALSE,,FALSE,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3798,12,15,46,30,2018,6,25,Michael,Ashdod,17,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,1.25,,,0.5,,,,,,,,,,,,,0.25 B+0.25 L+,1.5 Kg,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
5,12,45,17,30,2013,10,2,Doli,Ashdod N,,2.75,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,3 Kg L+,,,1,,,1.5,,,1.5,,,1,1.5,,,,,0.5,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
11,20,0,0,15,2013,10,3,Doli,Ashdod N,18,,,,FALSE,,TRUE,Gambari,FALSE,FALSE,,,,,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
15,19,45,23,15,2013,10,5,Doli,Ashdod N,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,2.5,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
16,0,45,5,45,2013,10,5,Doli,Ashdod N,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2.5,,2,,,0.5,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
21,19,45,23,0,2013,10,9,Doli,Ashdod N,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,3,,,2,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
22,23,15,4,45,2013,10,9,Doli,Ashdod N,19,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,3,,,2,28 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
23,5,30,10,0,2013,10,10,Doli,Ashdod N,,3.25,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,3 Kg,,,1.5,,,0.5,,,,,,,1,,,,,10,,,,,,1,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
26,20,0,0,15,2013,10,10,Doli,Ashdod N,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,2,,,2,28 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
27,0,45,3,15,2013,10,10,Doli,Ashdod N,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1.5,,,1.5,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
30,22,0,2,0,2013,10,11,Levi,Ashdod N,,1.9,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
36,15,45,20,0,2013,10,13,Levi,Ashdod N,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
40,10,45,5,0,2013,10,14,Levi,Ashdod N,17,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
44,23,0,2,30,2013,10,15,Levi,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,1,,1,,,,20 Kg M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
48,20,0,0,15,2013,10,16,Doli,Ashdod N,22,2.5,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,2,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
49,1,0,4,0,2013,10,16,Doli,Ashdod N,,2.6,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
53,19,45,,,2013,10,17,Doli,Ashdod N,,2.7,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
57,19,15,5,45,2013,10,19,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,2,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,,,,
60,19,30,0,30,2013,10,22,Levi,Ashdod N,,2.3,University,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
61,1,0,3,30,2013,10,22,Levi,Ashdod N,,2.3,University,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
63,21,30,22,0,2013,10,23,Levi,Ashdod N,15.5,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
68,19,15,23,30,2013,10,24,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
72,19,30,0,15,2013,10,25,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,2,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
73,0,45,5,45,2013,10,25,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,2,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
77,19,30,0,30,2013,10,26,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
84,0,45,4,0,2013,10,28,Levi,Ashdod N,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
86,21,45,1,30,2013,10,30,Doli,Ashdod N,28,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,1,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
87,2,0,,,2013,10,30,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,1,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
88,6,15,9,45,2013,10,31,Doli,Ashdod N,16,1.8,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,,,,
91,18,45,23,0,2013,10,31,Doli,Ashdod N,,2.7,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,2,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
92,23,15,3,15,2013,10,31,Doli,Ashdod N,,2.8,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,2,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
95,18,45,0,15,2013,11,1,Doli,Ashdod N,,2.85,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
99,18,15,0,0,2013,11,2,Doli,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,1.5,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
100,0,30,5,0,2013,11,2,Doli,Ashdod N,16,3,,,FALSE,,FALSE,,FALSE,FALSE,,,,,0.5,,,1.5,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
108,22,0,3,30,2013,11,5,Levi,Ashdod N,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
125,0,0,4,15,2013,11,12,Doli,Ashdod N,45,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,0.5,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
127,9,15,13,45,2013,11,13,Doli,Ashdod N,40,,,,FALSE,,FALSE,,FALSE,FALSE,3.5 L+,,,,,,,,,1,,,,,2,,,,,,,,,,0.5,,,,1,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
133,14,45,18,15,2013,11,14,Doli,Ashdod N,,2.5,,,FALSE,,FALSE,,FALSE,FALSE,,,4.5,,0.5,,,,,,,1.5,,,1.5,,,,,,0.5,1.5,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
134,10,30,11,30,2013,11,15,Doli,Ashdod N,,3.5,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,
135,12,30,16,0,2013,11,15,Doli,Ashdod N,,4,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,,,,
137,20,15,0,30,2013,11,15,Doli,Ashdod N,,2.7,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,0.5,,,,9 Kg,,,,,,,,,,1.5,,1,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
139,6,0,9,30,2013,11,16,Doli,Ashdod N,,2,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,1,,,,,,,,,0.5,2,,,,,,,,,,,1,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
141,14,45,18,30,2013,11,16,Doli,Ashdod N,,3,,,FALSE,,FALSE,,FALSE,FALSE,,,3.5,,,,,,,,,2,,,,,,,,,1,1,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
143,0,15,4,45,2013,11,16,Doli,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,1.5,,,,,,6 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,,,,,,,
180,14,30,18,0,2013,11,28,Doli,Ashdod N,32,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,
181,19,0,23,0,2013,11,28,Doli,Ashdod N,14.5,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
182,23,30,3,0,2013,11,28,Doli,Ashdod N,14.5,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,1,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
